gene.x,gene.y,weight.Integrated_score,evidence: CCMI,evidence: Co-dependence,evidence: mRNA co-expression,evidence: Physical,evidence: Protein co-expression,evidence: Sequence similarity,Integrated score,interaction,name,selected,shared interaction,shared name
MKLN1,YPEL5,0.489,0,0.066,0.154,0.52,0.216,0.036,0.489,interacts-with,MKLN1 (interacts-with) YPEL5,FALSE,interacts-with,MKLN1 (interacts-with) YPEL5
MKLN1,WDR26,0.521,0,0.083,0.189,0.512,0.244,0.383,0.521,interacts-with,MKLN1 (interacts-with) WDR26,FALSE,interacts-with,MKLN1 (interacts-with) WDR26
PRPF8,USP39,0.371,0,0.058,0.352,0.388,0.48,0.002,0.371,interacts-with,PRPF8 (interacts-with) USP39,FALSE,interacts-with,PRPF8 (interacts-with) USP39
CHAMP1,LIG3,0.239,0,0.044,0.229,0.277,0.31,0.133,0.239,interacts-with,CHAMP1 (interacts-with) LIG3,FALSE,interacts-with,CHAMP1 (interacts-with) LIG3
CHAMP1,MDC1,0.2,0,0.065,0.323,0.259,0.144,0.106,0.2,interacts-with,CHAMP1 (interacts-with) MDC1,FALSE,interacts-with,CHAMP1 (interacts-with) MDC1
HDAC1,HDAC2,0.803,0,0,0.3,0.854,0.387,0.342,0.803,interacts-with,HDAC1 (interacts-with) HDAC2,FALSE,interacts-with,HDAC1 (interacts-with) HDAC2
CHAMP1,PNKP,0.182,0,0.078,0.108,0.221,0.354,0.005,0.182,interacts-with,CHAMP1 (interacts-with) PNKP,FALSE,interacts-with,CHAMP1 (interacts-with) PNKP
HDAC1,HMG20A,0.655,0,0.03,0.203,0.565,0.32,0.036,0.655,interacts-with,HDAC1 (interacts-with) HMG20A,FALSE,interacts-with,HDAC1 (interacts-with) HMG20A
HDAC1,HMG20B,0.615,0,0.033,0.152,0.565,0.35,0.015,0.615,interacts-with,HDAC1 (interacts-with) HMG20B,FALSE,interacts-with,HDAC1 (interacts-with) HMG20B
CHAMP1,PRKDC,0.293,0,0.005,0.368,0.202,0.257,0.016,0.293,interacts-with,CHAMP1 (interacts-with) PRKDC,FALSE,interacts-with,CHAMP1 (interacts-with) PRKDC
HDAC1,ING2,0.67,0,0.061,0.14,0.525,0.124,0.586,0.67,interacts-with,HDAC1 (interacts-with) ING2,FALSE,interacts-with,HDAC1 (interacts-with) ING2
CHAMP1,RAD50,0.223,0,0.07,0.317,0.201,0.233,0.131,0.223,interacts-with,CHAMP1 (interacts-with) RAD50,FALSE,interacts-with,CHAMP1 (interacts-with) RAD50
HDAC1,KDM1A,0.776,0,0.002,0.359,0.612,0.465,0.132,0.776,interacts-with,HDAC1 (interacts-with) KDM1A,FALSE,interacts-with,HDAC1 (interacts-with) KDM1A
HDAC1,MBD2,0.739,0,0.175,0.267,0.665,0.126,0.467,0.739,interacts-with,HDAC1 (interacts-with) MBD2,FALSE,interacts-with,HDAC1 (interacts-with) MBD2
HDAC1,MBD3,0.711,0,0.145,0.155,0.654,0.208,0.448,0.711,interacts-with,HDAC1 (interacts-with) MBD3,FALSE,interacts-with,HDAC1 (interacts-with) MBD3
HDAC1,MTA1,0.833,0,0.024,0.199,0.623,0.439,0.348,0.833,interacts-with,HDAC1 (interacts-with) MTA1,FALSE,interacts-with,HDAC1 (interacts-with) MTA1
HDAC1,MTA2,0.813,0,0.162,0.324,0.681,0.416,0.346,0.813,interacts-with,HDAC1 (interacts-with) MTA2,FALSE,interacts-with,HDAC1 (interacts-with) MTA2
BEND3,CHAMP1,0.214,0,0.106,0.416,0.188,0.266,0.007,0.214,interacts-with,BEND3 (interacts-with) CHAMP1,FALSE,interacts-with,BEND3 (interacts-with) CHAMP1
PRPF31,RBM10,0.264,0,0.004,0.319,0.383,0.274,0.143,0.264,interacts-with,PRPF31 (interacts-with) RBM10,FALSE,interacts-with,PRPF31 (interacts-with) RBM10
HDAC1,PHF21A,0.571,0,0.019,0.169,0.576,0.213,0.003,0.571,interacts-with,HDAC1 (interacts-with) PHF21A,FALSE,interacts-with,HDAC1 (interacts-with) PHF21A
BEND3,GATAD2B,0.185,0,0.039,0.303,0.192,0.298,0.093,0.185,interacts-with,BEND3 (interacts-with) GATAD2B,FALSE,interacts-with,BEND3 (interacts-with) GATAD2B
BEND3,HDAC2,0.346,0,0.11,0.391,0.179,0.442,0.008,0.346,interacts-with,BEND3 (interacts-with) HDAC2,FALSE,interacts-with,BEND3 (interacts-with) HDAC2
CHAMP1,XRCC1,0.193,0,0.187,0.13,0.294,0.332,0.09,0.193,interacts-with,CHAMP1 (interacts-with) XRCC1,FALSE,interacts-with,CHAMP1 (interacts-with) XRCC1
BEND3,KDM1A,0.229,0,0.017,0.372,0.196,0.383,0.013,0.229,interacts-with,BEND3 (interacts-with) KDM1A,FALSE,interacts-with,BEND3 (interacts-with) KDM1A
PRPF31,SART1,0.708,0,0.096,0.427,0.588,0.413,0.6,0.708,interacts-with,PRPF31 (interacts-with) SART1,FALSE,interacts-with,PRPF31 (interacts-with) SART1
BEND3,MTA2,0.224,0,0.043,0.3,0.185,0.373,0.201,0.224,interacts-with,BEND3 (interacts-with) MTA2,FALSE,interacts-with,BEND3 (interacts-with) MTA2
PRPF31,SNRNP200,0.749,0,0.308,0.287,0.539,0.488,0.668,0.749,interacts-with,PRPF31 (interacts-with) SNRNP200,FALSE,interacts-with,PRPF31 (interacts-with) SNRNP200
PRPF31,SNRPA,0.438,0,0.013,0.332,0.46,0.253,0.42,0.438,interacts-with,PRPF31 (interacts-with) SNRPA,FALSE,interacts-with,PRPF31 (interacts-with) SNRPA
BEND3,PRKDC,0.222,0,0.011,0.409,0.19,0.321,0,0.222,interacts-with,BEND3 (interacts-with) PRKDC,FALSE,interacts-with,BEND3 (interacts-with) PRKDC
HDAC1,RCOR1,0.762,0,0.059,0.196,0.567,0.454,0.009,0.762,interacts-with,HDAC1 (interacts-with) RCOR1,FALSE,interacts-with,HDAC1 (interacts-with) RCOR1
HDAC1,RCOR2,0.373,0,0.016,0.063,0.444,0.404,0.036,0.373,interacts-with,HDAC1 (interacts-with) RCOR2,FALSE,interacts-with,HDAC1 (interacts-with) RCOR2
HDAC1,RCOR3,0.592,0,0.054,0.151,0.566,0.39,0.036,0.592,interacts-with,HDAC1 (interacts-with) RCOR3,FALSE,interacts-with,HDAC1 (interacts-with) RCOR3
BEND3,SIN3A,0.2,0,0.055,0.375,0.198,0.243,0.106,0.2,interacts-with,BEND3 (interacts-with) SIN3A,FALSE,interacts-with,BEND3 (interacts-with) SIN3A
HDAC1,SAP30,0.65,0,0.063,0.152,0.651,0.374,0.008,0.65,interacts-with,HDAC1 (interacts-with) SAP30,FALSE,interacts-with,HDAC1 (interacts-with) SAP30
HDAC1,SAP30L,0.47,0,0.04,0.147,0.526,0.294,0.151,0.47,interacts-with,HDAC1 (interacts-with) SAP30L,FALSE,interacts-with,HDAC1 (interacts-with) SAP30L
HDAC1,SAP130,0.721,0,0.155,0.272,0.579,0.203,0.002,0.721,interacts-with,HDAC1 (interacts-with) SAP130,FALSE,interacts-with,HDAC1 (interacts-with) SAP130
HDAC1,SATB1,0.438,0,0.07,0.111,0.477,0.005,0.122,0.438,interacts-with,HDAC1 (interacts-with) SATB1,FALSE,interacts-with,HDAC1 (interacts-with) SATB1
HDAC1,SIN3A,0.868,0,0.119,0.326,0.603,0.406,0.715,0.868,interacts-with,HDAC1 (interacts-with) SIN3A,FALSE,interacts-with,HDAC1 (interacts-with) SIN3A
BEND3,ZMYM3,0.206,0,0.012,0.245,0.168,0.393,0.173,0.206,interacts-with,BEND3 (interacts-with) ZMYM3,FALSE,interacts-with,BEND3 (interacts-with) ZMYM3
PRPF31,USP39,0.362,0,0.016,0.307,0.377,0.424,0.004,0.362,interacts-with,PRPF31 (interacts-with) USP39,FALSE,interacts-with,PRPF31 (interacts-with) USP39
HDAC1,SUDS3,0.748,0,0.145,0.228,0.593,0.405,0.007,0.748,interacts-with,HDAC1 (interacts-with) SUDS3,FALSE,interacts-with,HDAC1 (interacts-with) SUDS3
HDAC1,ZMYM2,0.496,0,0.121,0.125,0.515,0.267,0.127,0.496,interacts-with,HDAC1 (interacts-with) ZMYM2,FALSE,interacts-with,HDAC1 (interacts-with) ZMYM2
HDAC1,ZMYM3,0.475,0,0.012,0.166,0.431,0.466,0.003,0.475,interacts-with,HDAC1 (interacts-with) ZMYM3,FALSE,interacts-with,HDAC1 (interacts-with) ZMYM3
HDAC1,ZMYM4,0.223,0,0.032,0.218,0.157,0.381,0.01,0.223,interacts-with,HDAC1 (interacts-with) ZMYM4,FALSE,interacts-with,HDAC1 (interacts-with) ZMYM4
HDAC2,HMG20A,0.567,0,0.055,0.203,0.565,0.224,0.036,0.567,interacts-with,HDAC2 (interacts-with) HMG20A,FALSE,interacts-with,HDAC2 (interacts-with) HMG20A
HDAC2,HMG20B,0.586,0,0.048,0.136,0.575,0.277,0.104,0.586,interacts-with,HDAC2 (interacts-with) HMG20B,FALSE,interacts-with,HDAC2 (interacts-with) HMG20B
HDAC2,ING2,0.65,0,0.077,0.175,0.521,0.081,0.557,0.65,interacts-with,HDAC2 (interacts-with) ING2,FALSE,interacts-with,HDAC2 (interacts-with) ING2
HDAC2,KDM1A,0.693,0,0.015,0.442,0.558,0.497,0.146,0.693,interacts-with,HDAC2 (interacts-with) KDM1A,FALSE,interacts-with,HDAC2 (interacts-with) KDM1A
HDAC2,MDC1,0.234,0,0.101,0.29,0.269,0.317,0.002,0.234,interacts-with,HDAC2 (interacts-with) MDC1,FALSE,interacts-with,HDAC2 (interacts-with) MDC1
HDAC2,MBD2,0.703,0,0.142,0.344,0.644,0.17,0.446,0.703,interacts-with,HDAC2 (interacts-with) MBD2,FALSE,interacts-with,HDAC2 (interacts-with) MBD2
HDAC2,MBD3,0.626,0,0.176,0.258,0.579,0.148,0.46,0.626,interacts-with,HDAC2 (interacts-with) MBD3,FALSE,interacts-with,HDAC2 (interacts-with) MBD3
HDAC2,MTA1,0.758,0,0.119,0.274,0.615,0.494,0.346,0.758,interacts-with,HDAC2 (interacts-with) MTA1,FALSE,interacts-with,HDAC2 (interacts-with) MTA1
HDAC2,MTA2,0.868,0,0.203,0.309,0.682,0.601,0.347,0.868,interacts-with,HDAC2 (interacts-with) MTA2,FALSE,interacts-with,HDAC2 (interacts-with) MTA2
HDAC2,MTA3,0.669,0,0.001,0.224,0.612,0.312,0.347,0.669,interacts-with,HDAC2 (interacts-with) MTA3,FALSE,interacts-with,HDAC2 (interacts-with) MTA3
HDAC2,PHF21A,0.633,0,0.053,0.161,0.559,0.246,0.226,0.633,interacts-with,HDAC2 (interacts-with) PHF21A,FALSE,interacts-with,HDAC2 (interacts-with) PHF21A
HDAC2,PRKDC,0.333,0,0.011,0.371,0.199,0.356,0.137,0.333,interacts-with,HDAC2 (interacts-with) PRKDC,FALSE,interacts-with,HDAC2 (interacts-with) PRKDC
HDAC2,RBBP7,0.737,0,0.011,0.407,0.612,0.462,0.457,0.737,interacts-with,HDAC2 (interacts-with) RBBP7,FALSE,interacts-with,HDAC2 (interacts-with) RBBP7
HDAC2,RCOR1,0.682,0,0.045,0.298,0.552,0.392,0.133,0.682,interacts-with,HDAC2 (interacts-with) RCOR1,FALSE,interacts-with,HDAC2 (interacts-with) RCOR1
HDAC2,RCOR2,0.582,0,0.003,0.277,0.511,0.488,0.036,0.582,interacts-with,HDAC2 (interacts-with) RCOR2,FALSE,interacts-with,HDAC2 (interacts-with) RCOR2
HDAC2,RCOR3,0.657,0,0.086,0.179,0.559,0.376,0.036,0.657,interacts-with,HDAC2 (interacts-with) RCOR3,FALSE,interacts-with,HDAC2 (interacts-with) RCOR3
HDAC2,SAP30,0.781,0,0.106,0.236,0.617,0.33,0.342,0.781,interacts-with,HDAC2 (interacts-with) SAP30,FALSE,interacts-with,HDAC2 (interacts-with) SAP30
HDAC2,SAP30L,0.474,0,0.091,0.145,0.517,0.234,0.004,0.474,interacts-with,HDAC2 (interacts-with) SAP30L,FALSE,interacts-with,HDAC2 (interacts-with) SAP30L
HDAC2,SAP130,0.562,0,0.104,0.275,0.57,0.16,0.008,0.562,interacts-with,HDAC2 (interacts-with) SAP130,FALSE,interacts-with,HDAC2 (interacts-with) SAP130
HDAC2,SIN3A,0.89,0,0.115,0.248,0.559,0.422,0.695,0.89,interacts-with,HDAC2 (interacts-with) SIN3A,FALSE,interacts-with,HDAC2 (interacts-with) SIN3A
HDAC2,SUDS3,0.71,0,0.062,0.268,0.602,0.378,0.117,0.71,interacts-with,HDAC2 (interacts-with) SUDS3,FALSE,interacts-with,HDAC2 (interacts-with) SUDS3
ECD,PRPF8,0.525,0,0.191,0.301,0.544,0.196,0.102,0.525,interacts-with,ECD (interacts-with) PRPF8,FALSE,interacts-with,ECD (interacts-with) PRPF8
HDAC2,XRCC5,0.321,0,0.017,0.427,0.233,0.242,0.088,0.321,interacts-with,HDAC2 (interacts-with) XRCC5,FALSE,interacts-with,HDAC2 (interacts-with) XRCC5
HDAC2,WIZ,0.309,0,0.07,0.241,0.416,0.317,0.011,0.309,interacts-with,HDAC2 (interacts-with) WIZ,FALSE,interacts-with,HDAC2 (interacts-with) WIZ
HDAC2,ZMYM2,0.463,0,0.1,0.258,0.465,0.28,0.015,0.463,interacts-with,HDAC2 (interacts-with) ZMYM2,FALSE,interacts-with,HDAC2 (interacts-with) ZMYM2
HDAC2,ZMYM3,0.556,0,0.004,0.269,0.464,0.476,0.015,0.556,interacts-with,HDAC2 (interacts-with) ZMYM3,FALSE,interacts-with,HDAC2 (interacts-with) ZMYM3
HDAC2,ZMYM4,0.301,0,0.051,0.309,0.145,0.452,0.001,0.301,interacts-with,HDAC2 (interacts-with) ZMYM4,FALSE,interacts-with,HDAC2 (interacts-with) ZMYM4
ECD,SNRNP200,0.227,0,0.018,0.24,0.398,0.219,0.009,0.227,interacts-with,ECD (interacts-with) SNRNP200,FALSE,interacts-with,ECD (interacts-with) SNRNP200
HDAC3,NCOA2,0.208,0,0.028,0.194,0.203,0.266,0.014,0.208,interacts-with,HDAC3 (interacts-with) NCOA2,FALSE,interacts-with,HDAC3 (interacts-with) NCOA2
HDAC3,NRIP1,0.416,0,0.117,0.107,0.512,0.057,0.214,0.416,interacts-with,HDAC3 (interacts-with) NRIP1,FALSE,interacts-with,HDAC3 (interacts-with) NRIP1
HDAC3,NCOR1,0.699,0,0.323,0.225,0.509,0.48,0.074,0.699,interacts-with,HDAC3 (interacts-with) NCOR1,FALSE,interacts-with,HDAC3 (interacts-with) NCOR1
HDAC3,NCOR2,0.625,0,0.026,0.195,0.618,0.172,0.012,0.625,interacts-with,HDAC3 (interacts-with) NCOR2,FALSE,interacts-with,HDAC3 (interacts-with) NCOR2
CHD1,CHD2,0.236,0,0.271,0.295,0.069,0.349,0.084,0.236,interacts-with,CHD1 (interacts-with) CHD2,FALSE,interacts-with,CHD1 (interacts-with) CHD2
CHD1,CSNK2A2,0.271,0,0.015,0.229,0.192,0.163,0.458,0.271,interacts-with,CHD1 (interacts-with) CSNK2A2,FALSE,interacts-with,CHD1 (interacts-with) CSNK2A2
HDAC3,TBL1X,0.588,0,0.012,0.139,0.516,0.425,0.007,0.588,interacts-with,HDAC3 (interacts-with) TBL1X,FALSE,interacts-with,HDAC3 (interacts-with) TBL1X
HDAC3,TBL1XR1,0.614,0,0.379,0.182,0.511,0.407,0.006,0.614,interacts-with,HDAC3 (interacts-with) TBL1XR1,FALSE,interacts-with,HDAC3 (interacts-with) TBL1XR1
HDAC3,TRIM33,0.224,0,0.093,0.214,0.222,0.318,0.008,0.224,interacts-with,HDAC3 (interacts-with) TRIM33,FALSE,interacts-with,HDAC3 (interacts-with) TRIM33
HDAC3,ZBTB33,0.415,0,0.011,0.146,0.471,0.164,0.118,0.415,interacts-with,HDAC3 (interacts-with) ZBTB33,FALSE,interacts-with,HDAC3 (interacts-with) ZBTB33
PRRC2A,RNF41,0.202,0,0.047,0.287,0.249,0.138,0.009,0.202,interacts-with,PRRC2A (interacts-with) RNF41,FALSE,interacts-with,PRRC2A (interacts-with) RNF41
CHD1,SUPT16H,0.45,0,0.058,0.292,0.369,0.258,0.474,0.45,interacts-with,CHD1 (interacts-with) SUPT16H,FALSE,interacts-with,CHD1 (interacts-with) SUPT16H
ECI2,HSD17B4,0.276,0,0.142,0.154,0.122,0.237,0.348,0.276,interacts-with,ECI2 (interacts-with) HSD17B4,FALSE,interacts-with,ECI2 (interacts-with) HSD17B4
BIRC2,TRAF3,0.513,0,0.019,0.159,0.527,0.126,0.002,0.513,interacts-with,BIRC2 (interacts-with) TRAF3,FALSE,interacts-with,BIRC2 (interacts-with) TRAF3
CHD2,CSNK2A2,0.431,0,0.048,0.158,0.102,0.104,0.642,0.431,interacts-with,CHD2 (interacts-with) CSNK2A2,FALSE,interacts-with,CHD2 (interacts-with) CSNK2A2
CHD2,SUPT16H,0.335,0,0.02,0.176,0.005,0.328,0.611,0.335,interacts-with,CHD2 (interacts-with) SUPT16H,FALSE,interacts-with,CHD2 (interacts-with) SUPT16H
CHD3,CHD4,0.803,0,0.111,0.144,0.617,0.396,0.342,0.803,interacts-with,CHD3 (interacts-with) CHD4,FALSE,interacts-with,CHD3 (interacts-with) CHD4
CHD3,EHMT2,0.253,0,0.029,0.241,0.236,0.344,0.005,0.253,interacts-with,CHD3 (interacts-with) EHMT2,FALSE,interacts-with,CHD3 (interacts-with) EHMT2
CHD3,GATAD2A,0.477,0,0.052,0.129,0.527,0.33,0.006,0.477,interacts-with,CHD3 (interacts-with) GATAD2A,FALSE,interacts-with,CHD3 (interacts-with) GATAD2A
CHD3,GATAD2B,0.701,0,0.089,0.224,0.58,0.266,0.014,0.701,interacts-with,CHD3 (interacts-with) GATAD2B,FALSE,interacts-with,CHD3 (interacts-with) GATAD2B
CHD3,HMG20A,0.244,0,0.168,0.18,0.407,0.243,0.036,0.244,interacts-with,CHD3 (interacts-with) HMG20A,FALSE,interacts-with,CHD3 (interacts-with) HMG20A
CHD3,HMG20B,0.241,0,0.001,0.137,0.391,0.232,0.087,0.241,interacts-with,CHD3 (interacts-with) HMG20B,FALSE,interacts-with,CHD3 (interacts-with) HMG20B
CHD3,HDAC1,0.622,0,0.095,0.16,0.627,0.378,0.001,0.622,interacts-with,CHD3 (interacts-with) HDAC1,FALSE,interacts-with,CHD3 (interacts-with) HDAC1
CHD3,HDAC2,0.743,0,0.081,0.154,0.601,0.42,0.091,0.743,interacts-with,CHD3 (interacts-with) HDAC2,FALSE,interacts-with,CHD3 (interacts-with) HDAC2
CHD3,KDM1A,0.502,0,0.067,0.149,0.504,0.341,0.145,0.502,interacts-with,CHD3 (interacts-with) KDM1A,FALSE,interacts-with,CHD3 (interacts-with) KDM1A
CHD3,MBD2,0.664,0,0.117,0.149,0.621,0.094,0.111,0.664,interacts-with,CHD3 (interacts-with) MBD2,FALSE,interacts-with,CHD3 (interacts-with) MBD2
CHD3,MBD3,0.411,0,0.047,0.194,0.449,0.111,0.127,0.411,interacts-with,CHD3 (interacts-with) MBD3,FALSE,interacts-with,CHD3 (interacts-with) MBD3
CHD3,MTA1,0.711,0,0.058,0.191,0.628,0.353,0.009,0.711,interacts-with,CHD3 (interacts-with) MTA1,FALSE,interacts-with,CHD3 (interacts-with) MTA1
CHD3,MTA2,0.648,0,0.055,0.179,0.557,0.289,0.158,0.648,interacts-with,CHD3 (interacts-with) MTA2,FALSE,interacts-with,CHD3 (interacts-with) MTA2
CHD3,MTA3,0.699,0,0.186,0.231,0.621,0.331,0.003,0.699,interacts-with,CHD3 (interacts-with) MTA3,FALSE,interacts-with,CHD3 (interacts-with) MTA3
CHD3,PHF21A,0.22,0,0.047,0.261,0.373,0.181,0.005,0.22,interacts-with,CHD3 (interacts-with) PHF21A,FALSE,interacts-with,CHD3 (interacts-with) PHF21A
CHD3,RAI1,0.216,0,0.037,0.376,0.134,0.239,0.007,0.216,interacts-with,CHD3 (interacts-with) RAI1,FALSE,interacts-with,CHD3 (interacts-with) RAI1
CHD3,RCOR1,0.262,0,0.039,0.171,0.403,0.329,0.004,0.262,interacts-with,CHD3 (interacts-with) RCOR1,FALSE,interacts-with,CHD3 (interacts-with) RCOR1
CHD3,RCOR2,0.201,0,0.022,0.159,0.192,0.337,0.036,0.201,interacts-with,CHD3 (interacts-with) RCOR2,FALSE,interacts-with,CHD3 (interacts-with) RCOR2
CHD3,RCOR3,0.246,0,0.037,0.183,0.396,0.279,0.036,0.246,interacts-with,CHD3 (interacts-with) RCOR3,FALSE,interacts-with,CHD3 (interacts-with) RCOR3
CHD3,RBBP7,0.509,0,0.003,0.111,0.504,0.373,0.011,0.509,interacts-with,CHD3 (interacts-with) RBBP7,FALSE,interacts-with,CHD3 (interacts-with) RBBP7
CHD3,SAP30,0.31,0,0.034,0.16,0.412,0.338,0.099,0.31,interacts-with,CHD3 (interacts-with) SAP30,FALSE,interacts-with,CHD3 (interacts-with) SAP30
CHD3,SAP30L,0.211,0,0.034,0.111,0.405,0.251,0.004,0.211,interacts-with,CHD3 (interacts-with) SAP30L,FALSE,interacts-with,CHD3 (interacts-with) SAP30L
CHD3,SAP130,0.223,0,0.088,0.196,0.399,0.22,0.098,0.223,interacts-with,CHD3 (interacts-with) SAP130,FALSE,interacts-with,CHD3 (interacts-with) SAP130
CHD3,SIN3A,0.329,0,0.233,0.271,0.397,0.438,0.308,0.329,interacts-with,CHD3 (interacts-with) SIN3A,FALSE,interacts-with,CHD3 (interacts-with) SIN3A
MOGS,P4HB,0.222,0,0.148,0.255,0.116,0.185,0.432,0.222,interacts-with,MOGS (interacts-with) P4HB,FALSE,interacts-with,MOGS (interacts-with) P4HB
CHD3,SPIN1,0.189,0,0.057,0.252,0.153,0.32,0.185,0.189,interacts-with,CHD3 (interacts-with) SPIN1,FALSE,interacts-with,CHD3 (interacts-with) SPIN1
CHD3,SUDS3,0.366,0,0.101,0.139,0.424,0.361,0.108,0.366,interacts-with,CHD3 (interacts-with) SUDS3,FALSE,interacts-with,CHD3 (interacts-with) SUDS3
MOGS,UGGT1,0.243,0,0.256,0.196,0.143,0.276,0.346,0.243,interacts-with,MOGS (interacts-with) UGGT1,FALSE,interacts-with,MOGS (interacts-with) UGGT1
CHD3,ZMYM3,0.187,0,0.011,0.284,0.177,0.3,0.115,0.187,interacts-with,CHD3 (interacts-with) ZMYM3,FALSE,interacts-with,CHD3 (interacts-with) ZMYM3
MORF4L1,MORF4L2,0.703,0,0.004,0.275,0.637,0.316,0.119,0.703,interacts-with,MORF4L1 (interacts-with) MORF4L2,FALSE,interacts-with,MORF4L1 (interacts-with) MORF4L2
CHD4,CUX1,0.243,0,0.064,0.169,0.213,0.346,0.012,0.243,interacts-with,CHD4 (interacts-with) CUX1,FALSE,interacts-with,CHD4 (interacts-with) CUX1
CHD4,DNMT3A,0.321,0,0.026,0.291,0.238,0.429,0.002,0.321,interacts-with,CHD4 (interacts-with) DNMT3A,FALSE,interacts-with,CHD4 (interacts-with) DNMT3A
CHD4,EHMT1,0.365,0,0.069,0.308,0.323,0.443,0.002,0.365,interacts-with,CHD4 (interacts-with) EHMT1,FALSE,interacts-with,CHD4 (interacts-with) EHMT1
CHD4,EHMT2,0.323,0,0.106,0.248,0.211,0.479,0.015,0.323,interacts-with,CHD4 (interacts-with) EHMT2,FALSE,interacts-with,CHD4 (interacts-with) EHMT2
CHD4,GATAD2A,0.595,0,0.126,0.239,0.496,0.497,0.101,0.595,interacts-with,CHD4 (interacts-with) GATAD2A,FALSE,interacts-with,CHD4 (interacts-with) GATAD2A
CHD4,GATAD2B,0.662,0,0.123,0.286,0.542,0.492,0.109,0.662,interacts-with,CHD4 (interacts-with) GATAD2B,FALSE,interacts-with,CHD4 (interacts-with) GATAD2B
CHD4,HDAC1,0.844,0,0.13,0.272,0.644,0.495,0.489,0.844,interacts-with,CHD4 (interacts-with) HDAC1,FALSE,interacts-with,CHD4 (interacts-with) HDAC1
CHD4,HDAC2,0.749,0,0.07,0.323,0.615,0.532,0.485,0.749,interacts-with,CHD4 (interacts-with) HDAC2,FALSE,interacts-with,CHD4 (interacts-with) HDAC2
CHD4,HMG20A,0.277,0,0.03,0.263,0.418,0.254,0.036,0.277,interacts-with,CHD4 (interacts-with) HMG20A,FALSE,interacts-with,CHD4 (interacts-with) HMG20A
CHD4,HMG20B,0.367,0,0.07,0.106,0.43,0.339,0.115,0.367,interacts-with,CHD4 (interacts-with) HMG20B,FALSE,interacts-with,CHD4 (interacts-with) HMG20B
CHD4,KDM1A,0.402,0,0.222,0.32,0.418,0.55,0.011,0.402,interacts-with,CHD4 (interacts-with) KDM1A,FALSE,interacts-with,CHD4 (interacts-with) KDM1A
MORF4L1,TRRAP,0.676,0,0.215,0.254,0.554,0.243,0.55,0.676,interacts-with,MORF4L1 (interacts-with) TRRAP,FALSE,interacts-with,MORF4L1 (interacts-with) TRRAP
CHD4,MBD2,0.548,0,0.039,0.24,0.519,0.194,0.106,0.548,interacts-with,CHD4 (interacts-with) MBD2,FALSE,interacts-with,CHD4 (interacts-with) MBD2
CHD4,MBD3,0.732,0,0.047,0.216,0.703,0.296,0.011,0.732,interacts-with,CHD4 (interacts-with) MBD3,FALSE,interacts-with,CHD4 (interacts-with) MBD3
EDC3,EDC4,0.739,0,0.052,0.343,0.667,0.263,0.013,0.739,interacts-with,EDC3 (interacts-with) EDC4,FALSE,interacts-with,EDC3 (interacts-with) EDC4
CHD4,MTA2,0.809,0,0.162,0.311,0.61,0.543,0.345,0.809,interacts-with,CHD4 (interacts-with) MTA2,FALSE,interacts-with,CHD4 (interacts-with) MTA2
CHD4,MTA3,0.792,0,0.048,0.201,0.633,0.453,0.345,0.792,interacts-with,CHD4 (interacts-with) MTA3,FALSE,interacts-with,CHD4 (interacts-with) MTA3
CHD4,MTA1,0.814,0,0.055,0.22,0.654,0.477,0.347,0.814,interacts-with,CHD4 (interacts-with) MTA1,FALSE,interacts-with,CHD4 (interacts-with) MTA1
CHD4,NCOA6,0.185,0,0.064,0.242,0.148,0.299,0.005,0.185,interacts-with,CHD4 (interacts-with) NCOA6,FALSE,interacts-with,CHD4 (interacts-with) NCOA6
MORF4L2,PHF12,0.569,0,0.012,0.223,0.549,0.147,0.005,0.569,interacts-with,MORF4L2 (interacts-with) PHF12,FALSE,interacts-with,MORF4L2 (interacts-with) PHF12
CHD4,PHF21A,0.242,0,0.036,0.205,0.395,0.203,0.078,0.242,interacts-with,CHD4 (interacts-with) PHF21A,FALSE,interacts-with,CHD4 (interacts-with) PHF21A
MORF4L2,TRRAP,0.65,0,0.011,0.167,0.552,0.186,0.488,0.65,interacts-with,MORF4L2 (interacts-with) TRRAP,FALSE,interacts-with,MORF4L2 (interacts-with) TRRAP
MOV10,NVL,0.225,0,0.035,0.147,0.412,0.181,0.1,0.225,interacts-with,MOV10 (interacts-with) NVL,FALSE,interacts-with,MOV10 (interacts-with) NVL
CHD4,RAI1,0.181,0,0.015,0.232,0.214,0.179,0.003,0.181,interacts-with,CHD4 (interacts-with) RAI1,FALSE,interacts-with,CHD4 (interacts-with) RAI1
CHD4,RBBP7,0.843,0,0.012,0.339,0.686,0.503,0.347,0.843,interacts-with,CHD4 (interacts-with) RBBP7,FALSE,interacts-with,CHD4 (interacts-with) RBBP7
CHD4,RCOR1,0.584,0,0.052,0.17,0.428,0.573,0.096,0.584,interacts-with,CHD4 (interacts-with) RCOR1,FALSE,interacts-with,CHD4 (interacts-with) RCOR1
CHD4,RCOR2,0.303,0,0.015,0.221,0.341,0.464,0.036,0.303,interacts-with,CHD4 (interacts-with) RCOR2,FALSE,interacts-with,CHD4 (interacts-with) RCOR2
CHD4,RCOR3,0.412,0,0.018,0.15,0.399,0.427,0.036,0.412,interacts-with,CHD4 (interacts-with) RCOR3,FALSE,interacts-with,CHD4 (interacts-with) RCOR3
